movieId,title,imdbId
114818,Stretch (2014),2494280
131714,Last Knights (2015),2493486
106332,Muscle Shoals (2013),2492916
122886,Star Wars: Episode VII - The Force Awakens (2015),2488496
107769,Paranormal Activity: The Marked Ones (2014),2473682
113207,Get on Up (2014),2473602
112749,And So It Goes (2014),2465146
108076,"Other Shore, The (2013)",2459100
120783,Son of a Gun (2014),2452200
140928,Joy (2015),2446980
120635,Taken 3 (2015),2446042
106022,Toy Story of Terror (2013),2446040
127096,Project Almanac (2015),2436386
106438,Philomena (2013),2431286
136602,Creep (2014),2428170
134859,The Wolfpack (2015),2415458
109161,Venus in Fur (La Vénus à la fourrure) (2013),2406252
110645,"Witching and Bitching (Brujas de Zugarramurdi, Las) (2014)",2404738
140753,The Men Next Door (2012),2404645
103372,"Heat, The (2013)",2404463
102753,"Past, The (Le passé) (2013)",2404461
131796,Woman in Gold (2015),2404425
104925,"Family, The (2013)",2404311
132488,Lovesick (2014),2404299
111249,Belle (2013),2404181
133645,Carol (2015),2402927
113186,Felony (2013),2402603
139855,Anomalisa (2015),2401878
129657,Tracers (2015),2401097
112450,They Came Together (2014),2398249
103444,Woody Allen: A Documentary (2012),2397619
114935,Predestination (2014),2397535
103107,20 Feet from Stardom (Twenty Feet from Stardom) (2013),2396566
99764,It's Such a Beautiful Day (2012),2396224
122892,Avengers: Age of Ultron (2015),2395427
129313,Reality (2014),2392672
105211,Enough Said (2013),2390361
109742,Cheap Thrills (2013),2389182
98491,Paperman (2012),2388725
110591,Oculus (2013),2388715
106540,Delivery Man (2013),2387559
112277,Haunt (2013),2386278
113565,"Sacrament, The (2013)",2383068
112582,Life Itself (2014),2382298
108981,Nymphomaniac: Volume II (2013),2382009
129354,Focus (2015),2381941
111781,Mission: Impossible - Rogue Nation (2015),2381249
127108,Brooklyn (2015),2381111
112850,Words and Pictures (2013),2380331
99468,"Central Park Five, The (2012)",2380247
136020,Spectre (2015),2379713
100556,"Act of Killing, The (2012)",2375605
106473,One Piece Film Z (2012),2375379
104944,Short Term 12 (2013),2370248
109850,Need for Speed (2014),2369135
102588,Stories We Tell (2012),2366450
99846,Everything or Nothing: The Untold Story of 007 (2012),2366308
110461,We Are the Best! (Vi är bäst!) (2013),2364975
104321,Touchy Feely (2013),2364949
105351,Runner Runner (2013),2364841
140110,The Intern (2015),2361509
111384,Blue Ruin (2013),2359024
129737,Unfinished Business (2015),2358925
103984,"Great Beauty, The (Grande Bellezza, La) (2013)",2358891
110655,Rio 2 (2014),2357291
104303,Jobs (2013),2357129
109853,Barefoot (2014),2355495
102800,Frances Ha (2012),2347569
103339,White House Down (2013),2334879
103980,Blue Jasmine (2013),2334873
103624,Fruitvale Station (2013),2334649
109187,"Zero Theorem, The (2013)",2333804
112897,The Expendables 3 (2014),2333784
105254,Crystal Fairy & the Magical Cactus and 2012 (2013),2332579
107978,"Like Father, Like Son (Soshite chichi ni naru) (2013)",2331143
108506,Dark Touch (2013),2328549
114925,"Captive, The (2014)",2326612
118880,"Girl Walks Home Alone at Night, A (2014)",2326554
125916,Fifty Shades of Grey (2015),2322441
112515,"Babadook, The (2014)",2321549
107382,Whoopi Goldberg Presents Moms Mabley (2013),2319863
108729,Enemy (2013),2316411
98124,"Batman: The Dark Knight Returns, Part 1 (2012)",2313197
118696,The Hobbit: The Battle of the Five Armies (2014),2310332
138610,The Gallows (2015),2309260
101106,Sound City (2013),2306745
118900,Wild (2014),2305051
106839,Mandela: Long Walk to Freedom (2013),2304771
106144,"Selfish Giant, The (2013)",2304426
101362,Olympus Has Fallen (2013),2302755
106204,Pieta (2013),2299842
104339,In a World... (2013),2294677
106696,Frozen (2013),2294629
111486,Lesson of the Evil (Aku no kyôten) (2012),2294473
112138,22 Jump Street (2014),2294449
135887,Minions (2015),2293640
116503,The Possession of Michael King (2014),2282016
110297,Muppets Most Wanted (2014),2281587
105355,Blue Is the Warmest Color (La vie d'Adèle) (2013),2278871
109374,"Grand Budapest Hotel, The (2014)",2278388
