Title,Year,Plot
The Five-Year Engagement,2012,"In San Francisco, after a year's relationship, Tom proposes to Violet; she accepts. She's an experimental psychologist, hoping for a post-doc at Cal. He's a sous chef who runs the kitchen when the chef is away. When Cal falls through and she gets an offer in Ann Arbor, Tom agrees to support the move, turning down a job as chef at a new restaurant. The move requires postponing the wedding. At Michigan, Violet is in her element, but Tom is underemployed and frustrated; he's Stoic for a while, but when two years in Michigan become four, Tom's frustrations boil over, and on the eve of yet another wedding date, they must make a choice. Is there any other alternative?"
Wonder Woman,2009,"In antiquity, the Amazons defeat the war god, Ares, and Zeus charges them to hold him prisoner as eternally young warriors on the hidden island of Themyscira. Centuries later, US Air Force pilot Steve Trevor is lured to crash land on the island and the distraction of that trespass allows Ares to escape. In response, Princess Diana wins the responsibility to both take Trevor home and recapture the fugitive god. Steve Trevor offers to help and together this disparate pair must not only overcome Ares' efforts to achieve a bloody revenge, but also reconcile their own conflicting world views in an adventure that would be the first for the greatest of the female superheroes."
The Wrecking Crew!,2008,"A celebration of the musical work of a group of session musicians known as ""The Wrecking Crew"", a band that provided back-up instrumentals to such legendary recording artists as Frank Sinatra, The Beach Boys and Bing Crosby."
Cold in July,2014,"When a protective father meets a murderous ex-con, both need to deviate from the path they are on as they soon find themselves entangled in a downwards spiral of lies and violence while having to confront their own inner psyche."
The Hobbit: The Desolation of Smaug,2013,"After successfully crossing over (and under) the Misty Mountains, Thorin and Company must seek aid from a powerful stranger before taking on the dangers of Mirkwood Forest--without their Wizard. If they reach the human settlement of Lake-town it will be time for the hobbit Bilbo Baggins to fulfill his contract with the dwarves. The party must complete the journey to Lonely Mountain and burglar Baggins must seek out the Secret Door that will give them access to the hoard of the dragon Smaug. And, where has Gandalf got off to? And what is his secret business to the south?"
Tidal Wave,2009,"Professor Kim, a marine geologist, recognizes the impending danger of a mega tsunami headed straight for Haeundae, a popular vacation spot on the south coast of Korea. He desperately attempts to warn authorities and alert the unknowing vacationers of the 500 MPH destructive force of nature headed their direction."
3-Day Weekend,2008,"Director Rob Williams (Long-Term Relationship, Back Soon) serves up a shaken and stirred cocktail of sexual intrigue, humor and drama in his latest about an unlikely group of friends and lovers. Long-term couple Simon and Jason, along with Cooper and his boytoy du jour, meet annually for a three-day getaway. Looking to spice up the tradition, they add a twist - each invites one attractive, single friend to their mountain retreat. Soon a frisky former college roommate, an often naked yoga instructor, Jason's bashful co-worker and a high-priced rent boy arrive to stir things up. From bedhopping to breakups this is 72 hours they'll never forget."
Big Eyes,2014,"In San Francisco in the 1950s, Margaret was a woman trying to make it on her own after leaving her husband with only her daughter and her paintings. She meets gregarious ladies' man and fellow painter Walter Keane in a park while she was struggling to make an impact with her drawings of children with big eyes. The two quickly become a pair with outgoing Walter selling their paintings and quiet Margaret holed up at home painting even more children with big eyes. But Walter's actually selling her paintings as his own. A clash of financial success and critical failure soon sends Margaret reeling in her life of lies. With Walter still living the high life, Margaret's going to have to try making it on her own again and re-claiming her name and her paintings."
Dragon Ball Z: Cooler's Revenge,1991,"After destroying Frieza on Namek, Goku returns to a peaceful life on Earth. When informed his brother has been killed by a Saiyan, Cooler is hell bent on killing Goku, and making him pay for his brother's disgrace. Goku has to find the power within him to defeat a warrior even more powerful than the horrible Frieza."
Seventh Son,2014,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected his country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't? Should he trust the girl with pointy shoes? How can Thomas stand a chance against Mother Malkin, the most dangerous witch in the county?"
Tony,2009,A thriller centered on a serial killer in a rundown London suburb.
The Scorpion King: Rise of a Warrior,2008,"In Ancient Akkad, Mathayus grows up as the proud son of Ashur, a captain in the world-renowned military corps of Black Scorpions, first-rate bodyguards, most of which are sent to courts wide away. By objecting to young Mathayus joining the corps, Ashur incurs the undying enmity of ruthless generalissimo Sargon, gets killed and the orphaned knave is shipped off to a desolate training camp for six years by king Hammurabi's clemency. When he returns as a Black Scorpio, Sargon has bloodily seized the throne and demands cruel proof of blind loyalty. Mathayus refuses, becoming a chased hero. With youth friends, the resourceful Greek Pollux and various mercenary warriors, he embarks on a daring quest to obtain a legendary sword from Sargon's magical ally, the war-goddess Astarte."
Foxcatcher,2014,"Based on true events, Foxcatcher tells the dark and fascinating story of the unlikely and ultimately tragic relationship between an eccentric multi-millionaire and two champion wrestlers. When Olympic Gold Medal winning wrestler Mark Schultz (Channing Tatum) is invited by wealthy heir John du Pont (Steve Carell) to move on to the du Pont estate and help form a team to train for the 1988 Seoul Olympics at his new state-of-the-art training facility, Schultz jumps at the opportunity, hoping to focus on his training and finally step out of the poverty striken situation Olympic caliber athletes like he and his revered brother, Dave (Mark Ruffalo). Driven by hidden needs, du Pont sees backing Schultz's bid for Gold and the chance to ""coach"" a world-class wrestling team as an opportunity to gain the elusive respect of his peers and, more importantly, his disapproving mother (Vanessa Redgrave). Trapped in du Pont's majestic but suffocating world, Mark comes to see his benefactor as an egotistical, arrogant, and selfish megalomaniac and grows increasingly contemptuous. Though initially supportive, du Pont's mercurial personality turns and he begins to lure Mark into an unhealthy lifestyle that threatens to undermine his training. Soon du Pont's erratic behavior and threatening psychological game-play begin to erode the athlete's environment, stability, and motivation. Meanwhile du Pont becomes fixated on Dave, who exudes the confidence du Pont lacks. du Pont eventually realizes he is unable to buy the respect he so desperately desires from the world's greatest wrestlers. Fueled by du Pont's increasing paranoia and alienation from the brothers, the trio is propelled towards a tragedy no one could have foreseen."
Blended,2014,"After a blind date gone horribly wrong, Jim and Lauren agree they never, ever want to see each other again. Well, that's all about to change when the two find themselves and their respective families (including children) all stuck together in one suite at an African Safari vacation spot."
An Angel Named Billy,2007,"Meet Mark Anderson, a recent stroke victim who is frail and weak. Also, his best friend Thomas, a classic over-the-hill drag queen desperate for love and happiness. Mark and Thomas have a master plan, to find Mark's son, James Anderson, the love of his life once and for all. Meanwhile, Billy Houston, a young gay teenager who has just turned 18, gets his first country kiss from his best friend Rick and is immediately caught and thrown out of his house by his abusive father. With no place to turn, no cash and no contacts, Billy hitchhikes to the big city. Confused, lost and running scared, he soon finds a help wanted ad posted in a local city gay café by James. Billy interviews for the job and soon accepts the challenge as the role of caretaker on the spot. He quickly learns about full responsibility, independence, not to mention real life lessons about being gay. Billy unexpectedly finds himself in love with James and builds a bond with Mark that is unbreakable. ""An Angel Named Billy"" is a heartwarming, funny and unforgettable story of an abused boy who, in leaving his life of hate and mistrust, is able to come to terms in his own way of being gay in a modern world. Finding new friends, unexpected love and a whole new way of life will never be quite the same again."
Dark Shadows,2012,"In the year 1752, Joshua and Naomi Collins, with young son Barnabas, set sail from Liverpool, England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport, Maine. The master of Collinwood Manor, Barnabas is rich, powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch, in every sense of the word, Angelique dooms him to a fate worse than death: turning him into a vampire, and then burying him alive. Two centuries later, Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better, each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist, Dr. Julia Hoffman (Helena Bonham Carter), to help with her family troubles."
Skyfall,2012,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves."
Prayers for Bobby,2009,"In ""Prayers for Bobby,"" Mary Griffith (Sigourney Weaver) is a devout Christian who raises her children with the conservative teachings of the Presbyterian Church. However, when her son Bobby (Ryan Kelley) confides to his older brother he may be gay, life changes for the entire family after Mary learns about his secret. While Bobby's father (Henry Czerny) and siblings slowly come to terms with his homosexuality, Mary believes God can cure him of what she considers his 'sin' and persuades Bobby to pray harder and seek solace in church activities in hopes of changing him. Desperate for his mother's approval, Bobby does what is asked of him, but through it all, the church's apparent disapproval of homosexuality causes him to grow increasingly withdrawn and depressed. Guilty over the pain he is causing Mary, Bobby moves away, yet hopes that some day his mother will accept him. His subsequent depression and self-loathing intensifies as he blames himself for not being the 'perfect' son and is driven to suicide. Faced with their tragedy, Mary begins to question her faith when she receives no answers from her pastor concerning her devastating loss. Through her long and emotional journey, Mary slowly reaches out to the gay community and discovers unexpected support from a very unlikely source. The film is based on the 1995 Leroy Aarons book of the same name."
Ghost Rider: Spirit of Vengeance,2011,"Johnny Blaze, a man who made a deal with the Devil who called himself Mephistopheles at the time (now Roarke), is on the run trying to make sure no-one is harmed by his alter ego, The Ghost Rider. He is approached by a Monk named Moreau who tells him that he can help be him free of the Rider, but first, he needs Johnny's help to protect a boy, whom Roarke has plans for, to help him take human form."
Boyhood,2014,"Filmed over 12 years with the same cast, Richard Linklater's BOYHOOD is a groundbreaking story of growing up as seen through the eyes of a child named Mason (a breakthrough performance by Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha, BOYHOOD charts the rocky terrain of childhood like no other film has before. Snapshots of adolescence from road trips and family dinners to birthdays and graduations and all the moments in between become transcendent, set to a soundtrack spanning the years from Coldplay's Yellow to Arcade Fire's Deep Blue. BOYHOOD is both a nostalgic time capsule of the recent past and an ode to growing up and parenting."
The Big Year,2011,"In birding, a Big Year is seeing or hearing as many different species of birds as possible in a calendar year. Three men pursue the Birder of the Year title: Kenny Bostick, who's seen a record 732 in a past big year, Stu Preissler, newly retired, and Brad Harris, who narrates the story. Life gets in the way: Bostick's wife wants a baby, Stu's firm needs him for sensitive negotiations, and Brad, divorced and underemployed at 36, has an encouraging mom and a disapproving dad. They criss-cross the continent (including a trip to Alaska's westernmost island), follow migration patterns, and head for storms that force birds to ground. Who will win, at what cost, and with what rewards?"
Parental Guidance,2012,"The parents of Alice, a controlled mom, agree to take care of her 3 crazy children, Harper, Turner and Barker, because they feel they don't see their grandchildren enough, when Alice and her husband Phil go on a business trip for Phil. But when everything goes downhill, they need to find a way to prove to Alice, Phil, and themselves that they can be great grandparents."
Silver Linings Playbook,2012,"Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr. moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to him beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a girl with problems of her own. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses."
Iron Sky,2012,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers."
Dorothy Mills,2008,"Jane Morton, a psychiatrist from Dublin in deep mourning following the accidental death of her husband and son, is assigned to work on the case of Dorothy Mills, a teenaged girl in a small village who tried to strangle a baby. After miraculously surviving a car accident, Jane discovers a village darkened by strange events and meets a very nervous Dorothy, who swears she never touched the baby. After analyzing the teenager, Jane makes a diagnosis of multiple personality disorder until the day that Dorothy speaks with the voice of David, Jane's dead son."
Poltergeist,2015,"Legendary filmmaker Sam Raimi and director Gil Kenan reimagine and contemporize the classic tale about a family whose suburban home is invaded by angry spirits. When the terrifying apparitions escalate their attacks and take the youngest daughter, the family must come together to rescue her."
Argo,2012,"In 1979, the American embassy in Iran was invaded by Iranian revolutionaries and several Americans were taken hostage. However, six managed to escape to the official residence of the Canadian Ambassador and the CIA was ordered to get them out of the country. With few options, exfiltration expert Tony Mendez devised a daring plan: create a phony Canadian film project looking to shoot in Iran and smuggle the Americans out as its production crew. With the help of some trusted Hollywood contacts, Mendez created the ruse and proceeded to Iran as its associate producer. However, time was running out with the Iranian security forces closing in on the truth while both his charges and the White House had grave doubts about the operation themselves."
Selma,2014,"The unforgettable true story chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernay's ""Selma"" tells the story of how the revered leader and visionary Dr. Martin Luther King, Jr and his brothers and sisters in the movement prompted change that forever altered history."
