Plot,Title,Year
"Sisters Sally and Gillian Owens have a special bond with each other despite being different in personality and outlook. Having grown up with their spinster Aunts Frances and Jet in the long time Owens family home on an island off the coast of Massachusetts following the death of their father and then their mother, they are the latest in a long line of witches. Rumors of the Owens women being witches have existed for generations in the small close minded town in which they live, despite there being no hard evidence. The Owens women are also under a curse that any man with who they fall in love is doomed. With this experience, extroverted Gilly decides to leave the island to live life to the fullest, in the process falling for Jimmy Angelov, an ethnic Bulgarian who grew up near Transylvannia. More introspective Sally, who has sworn off the use of magic except in its most practical sense, has taken measures not to fall in love because of the curse, but ends up falling for and marrying Michael, a local merchant, the two who end up having two daughters of their own. The curse works its way into both Gilly and Sally's lives in different ways. The outcomes of the curse on their collective lives become more complicated with the arrival into town of Tuscon police detective Gary Hallet, whose arrival is not by accident and involves more than just his stated professional purpose.",Practical Magic,1998
"David Wagner is a kid whose mind is stuck in the 1950s. He's addicted to a classic 50's sitcom television show called ""Pleasantville"". Pleasntville is a simple place, a place where all of its citizens are swell and simple-minded folks, a place where the word ""violence"", and life outside of Pleasantville, is unbeknown to its inhabitants; things are perfect down in Pleasantville. One evening, the life of David and his obnoxious sister Jennifer take a bizarre turn when an eccentric repairman hand them a supposed magical remote. After a quarrel between the siblings, they inexplicably zap themselves into the world of ""Pleasantville"". Now, David and Jennifer must adjust to a 50s lifestyle of repressed desires and considerably different societal values while trying to find their way home.",Pleasantville,1998
"Porter is bad, but his neighbours are worse. Street-wise and tough, an ex-marine, he is betrayed by a one-time partner, and shot in the back by his junkie wife. He survives and returns, looking to recover his share from the robbery of an Asian crime gang. The money has passed into the hands of ""the Outfit"", a slick gangster organisation that runs the city. He has to make his way through a world populated by heroin dealers, prostitutes, sado-masochists, gunmen and crooked cops, a place where torture is a way of life. His only friend is a former employer, a prostitute, and her loyalty is in question, given she now works for the Outfit. He makes good early progress, but then falls into the hands of Fairfax, the crime boss.",Payback,1999
"When two pre-teens named Hallie & Annie meet through their summer camp, their two lives are rattled when they realize that they are identical twins. With parents, British mother aka famous dress designer Elizabeth & American father, a wine maker named Nick, living in two different sides of the universe, the girls decide to make an identity swap in hopes of spending time with their other parent. The girls later choose to aware their guardians of the swap while at a hotel in NYC, which late reunites the divorced pair and sends them back into remarriage with each other.",The Parent Trap,1998
"After being released from prison on a bum charge, Harry Barber is out for some payback to regain the two years he has lost. He is hired by Mrs. Malroux to fake the kidnapping of her stepdaughter (the daughter of a dying millionaire). He discovers that he is being set up on multiple levels and will soon face a longer prison sentence if he does not prove the truth to the police.",Palmetto,1998
"A career bank robber busts out of jail (Clooney) with the help of his buddy (Rhames) and kidnaps a US Marshal (Lopez) in the process. When the two cons head for Detroit to pull off their final big scam, the Marshal is put on their case but she finds she is attracted to one of them and has second thoughts about bringing them in.",Out of Sight,1998
"A 16 year old Louisiana girl moves in with her homosexual half-brother and immediately starts coming on to his sexual partner, finally forcing him into an affair in which she becomes pregnant. The whole affair blows into a scandal exposing her school teacher brother and the true parent of the child is called into question as it is revealed that there have been a series of lovers.",The Opposite of Sex,1998
"When a tough New Yorker's mother is stricken with a serious illness, she is forced to quit her job and her relationship with her boyfriend to take care of her, finding out a lot of things she didn't know about her mother and father and her life along the way.",One True Thing,1998
"It has been seventeen years now since Oscar and Felix saw each other for the last time. Oscar is living in Florida, Felix in New York. One day, Oscar is called by his son Brucey who invites him to his wedding to Felix' daughter Hannah next Sunday in California. Oscar and Felix meet again at Los Angeles International Airport and take a rental car in order to go to San Malina for the wedding. The trip develops into an odyssey, starting with Oscar forgetting Felix' suitcase at the Budget station, going over to the complete loss of the directions (and the car), several difficulties with the police, a dead person, a toupee, underwear and revenge-hungry Cowboys and ending up with Felix meeting the ""one and only"" woman. But the wedding has to be reached on time.",The Odd Couple II,1998
"George and Nina seem like the perfect couple. They share a cozy Brooklyn apartment, a taste for tuna casserole dinners, and a devotion to ballroom dancing. They love each other. There's only one hitch: George is gay. And when Nina announces she's pregnant, things get especially complicated. Vince - Nina's overbearing boyfriend and the baby's father-wants marriage. Nina wants independence. George will do anything for a little unqualified affection, but is he ready to become an unwed surrogate dad?",The Object of My Affection,1998
"The Roxbury Guys, Steve and Doug Butabi, want to get into the best club in town, and also hope to open their own club. Vivica, a gold-digging supermodel, and her friend Cambi try to work the Roxbury Guys for their money, only to find out the pair is broke.",A Night at the Roxbury,1998
"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history.",The Newton Boys,1998
"In the midst of an elaborate conspiracy, an expert negotiator is driven to the edge when he's framed for the murder of his partner, as well as embezzling money from his department's pension fund. His only chance to prove his innocence is to take hostages himself, acquire the services of another expert negotiator, and find out who's running the conspiracy before it's too late.",The Negotiator,1998
