,Plot,Title,Year
0,"This movie continues in the same vein as F.O.D. 1 with short scenes of death related material. Mortuarys, accidents, police work are filmed by TV crews and home video cameras. Some of the material are most likely fake, some not as likely.",Faces of Death II,1981
1,"Sensitive study of a headstrong high school football star who dreams of getting out of his small Western Pennsylvania steel town with a football scholarship. His equally ambitious coach aims at a college position, resulting in a clash which could crush the player's dreams.",All the Right Moves,1983
2,"Deprogramming a dog who kills Blacks is the ultimate challenge for an unorthodox African-American trainer. When a young Hollywood actress finds the injured stray, she nurses it back to health, not knowing it's a ""White Dog"" trained by a racist to attack only Blacks. Julie's appalled when the otherwise gentle, white German Shepherd breaks out, then returns from his nighttime foray dotted with human blood. Julie desperately races from trainer to trainer, advised to kill her pet, until the top Hollywood canine expert refers her to his former protégé, Keys.",White Dog,1982
3,"The Pink Panther diamond is stolen once again from Lugash and the authorities call in Chief Inspector Clouseau from France. His plane disappears en-route. This time, famous French TV reporter Marie Jouvet sets out to solve the mystery and starts to interview everybody connected to Clouseau. Each interviewee Dreyfus, Sir Charles & Lady Lytton (an ex-wife of Clouseau), George Lytton, Hercule Lajoy (assistant in ""A Shot In The Dark""), and Cato tell of their run-ins with Clouseau. She is also kidnapped by mobster Bruno Langlois who doesn't want Clouseau found but she continues and finds Clouseau Sr., Clouseau's father. Is Clouseau alive or is he dead? Each interview has not-yet-seen or famous clips from the previous movies (since Peter Sellers has sadly passed away) as Marie continues to get a honest view or impression of the great French detective...",Trail of the Pink Panther,1982
4,"With Argento's trademark visual style, linked with one of his more coherent plots, Tenebrae follows a writer who arrives to Rome only to find somebody is using his novels as the inspiration (and, occasionally, the means) of committing murder. As the death toll mounts the police are ever baffled, and the writer becomes more closely linked to the case than is comfortable.",Tenebre,1982
5,"A young American couple go to the Greek islands for the summer and are dazzled by the beauty and the uninhibited people surrounding them. The young man meets and begins an affair with a French woman, an archeologist working on a dig. The young American woman discovers this and goes to confront the other woman. The French woman is quite taken with the American woman's photographic work, and the three become very close.",Summer Lovers,1982
6,"On location in Portugal, a film crew runs out of film while making their own version of Roger Corman's Day the World Ended (1955). The producer is nowhere to be found and director Friedrich Munro attempts to find him in hopes of being able to finish the film.",The State of Things,1982
7,Killer who talks like a duck wanders around New York City killing women by various means including slicing an eyeball with a razorblade. Detective Jack Headly is hot on his trail.,The New York Ripper,1982
8,"A fifteen year marriage dissolves, leaving both the husband and wife, and their four children, devastated. He's preoccupied with a career and a mistress, she with a career and caring for four young children. While they attempt to go their separate ways, jealousy and bitterness reconnect them.",Shoot the Moon,1982
9,"Munich, 1955: A sports journalist meets Veronika Voss, an UFA actress who supposedly had an affair with Goebbels. Now declining, Voss is kept by her ""kind"" doctor, Dr. Katz, supplying her house, food, clean clothes and her favourite: morphine. Voss, trying to come back towards the cinema, cannot perform an absurdly simple scene, but it attracts the attention of the journalist, who suspects that something's very wrong regarding her doctor.",Veronika Voss,1982
10,"The film of an on-stage charity benefit for Amnesty International. The show includes comedy skits by the members of Monty Python, as well as noted comedians Peter Cook, Rowan Atkinson, and others. The show also includes musical numbers by Eric Clapton, Sting, Donovan and Bob Geldof.",The Secret Policeman's Other Ball,1982
11,The young daughter of a politician runs away due to lack of attention. She hides in the car of two not-so-bright crooks who are slowly converted into parent figures to her. A surprising bond of love and redirection forms among the trio as the police close down on the supposed kidnappers.,Savannah Smiles,1982
12,"""He wrote me...."" A woman narrates the thoughts of a world traveler, meditations on time and memory expressed in words and images from places as far-flung as Japan, Guinea-Bissau, Iceland, and San Francisco.",Sans Soleil,1983
13,"One of comedian Richard Pryor's live performances (at the Sunset Strip, obviously) caught on film. Pryor talks about most of his standard subjects, including rascism and the differences between blacks and whites, along with talking about some of his recent film roles.",Richard Pryor: Live on the Sunset Strip,1982
