Title,Year,Genre,Rated,Plot
Concert for George,2003,"Documentary, Music",PG-13,"George Harrison's friends, family, and bandmates unite for a tribute concert on the one-year anniversary of his death."
Elephant,2003,"Crime, Drama, Thriller",R,A day in the lives of a group of average teenage high school students. The film follows every character and shows their daily routines. However two of the students plan to do something that the student body won't forget.
Dorm Daze,2003,"Comedy, Crime, Mystery",R,"Dorm Daze unfolds during a crazy afternoon at a university co-ed dormitory in the days before Christmas break when one of the students, Styles McFee, hires a prostitute named Dominique for his unwitting brother, Booker, to lose his virginity. But Booker prefers to lose his virginity to his long-term sweetheart Rachel just down the hall. Meanwhile, another student, named Wang, awaits the arrival of a French foreign exchange student, who speaks little English, also named Dominique. Farcical wackiness ensues as a series of mistaken identities and mishaps escalate into monumental proportions starting when Wang leaves for work, Dominique the Student arrives and is mistaken for the prostitute by Styles, while Dominique the Hooker is mistaken for the student by others including the two dorm gossip queens Lynne and Marla. Other characters involve Adrienne, who is targeted by the dorm geek, Newmar, with whom they had a drunken fling the night before. Adrienne tries to find a missing handbag belonging to her friend, Claire, who is having boyfriend troubles with Tony. Adrienne's roommate, Gerri, inadvertently gets her hands on another handbag similar looking to Claire's which is filled with $30,000 in cash. Gerri is soon mistaken for a shadowy hit woman, named Britany the Snake, by a local gangster named Lorenzo. Elsewhere, Pete's punk friend Cliff enters the dorm when Pete has to go to work. Cliff soon teams up with Dominique the Hooker to find the missing handbag with the cash while the token gay student Foosball works his way through all the plots of this collegiate comedy of Shakespearean proportions."
Gothika,2003,"Horror, Mystery, Thriller",R,"Dr. Miranda Grey is a psychiatrist who works in a penitentiary, in the mental institution sector. She is married with Dr. Douglas Grey, the chief of department where Dr. Pete Graham also works. Chloe Sava, a patient of Dr. Miranda formerly abused by her stepfather, claims that she is frequently raped by the devil in her cell. After leaving the asylum in a stormy night, Dr. Miranda has a car accident, and when she wakes up, she is an inmate of the institution, being accused of an horrible crime and having no memory of the incident."
Dopamine,2003,"Comedy, Drama, Romance",R,"Rand, Winston, and Johnson have a small tech startup company in the Bay Area that's developing a artificially-lived computer character, Koy Koy the bird, who can hear and see and interact with the user. Koy Koy gets placed in a kids schoolroom for testing, and Rand develops a relationship with one of the teachers, Sarah. Rand learns that his scientific understanding of human mating isn't necessarily a roadmap for the real thing."
A Decade Under the Influence,2003,Documentary,R,"The 1970s was an extraordinary time of rebellion, of questioning every accepted idea: political activism, hedonism, protests, the sexual revolution, the women's movement, the civil rights movement, the music revolution, rage and liberation. Every standard by which we set our social and cultural clocks was either turned inside out or thrown away completely and reinvented. For American cinema, the 1970s was an era during which a new generation of filmmakers created work for a new kind of audience--moviegoers who were hungry for stories that reflected their own experiences and who were turning their backs on aged old studio formulas. As a result, emerging filmmakers influenced by foreign directors such as Godard, Kurosawa and Fellini coupled with the social climate and a struggling studio system, converged to create a new kind of moviemaking. Through their choice of material, filmmakers such as Francis Ford Coppola, Martin Scorsese, Robert Altman, Peter Bogdanovich, William Friedkin, Roger Corman and Paul Schrader revolutionized mainstream movies and for the first time personal visions were coming out of the studio system."
Camp,2003,"Comedy, Musical, Drama",PG-13,"Misfits in their lives back home, a group of young people live it up at musical-theater camp. While the sports counselor is completely ignored, the kids' spend all their time in rehearsal for a grueling schedule that involves a new show every two weeks. Several personal stories come to the fore. Is talented golden-boy Vlad honest in his feelings about Ellen? Can cross-dressing Michael have a relationship with his parents? Will one-hit-wonder musical playwrite and now camp counselor Bert Hanley remain mired in drink and cynicism? Fireworks are in store when Fritzi, who slavishly serves glamour girl Jill, is finally told to get a life, and the parents of Jenna, whose jaw has been wired shut in a compromise to avoid being sent to ""fat camp"", learn a valuable lesson at the summer's big end-of-season benefit."
Bus 174,2002,"Documentary, Crime",R,"Documentary depicts what happened in Rio de Janeiro on June 12th 2000, when bus 174 was taken by an armed young man, threatening to shoot all the passengers. Transmitted live on all Brazilian TV networks, this shocking and tragic-ending event became one of violence's most shocking portraits, and one of the scariest examples of police incompetence and abuse in recent years."
The Station Agent,2003,"Comedy, Drama",R,"When his only friend and co-worker dies, a young man born with dwarfism moves to an abandoned train depot in rural New Jersey. Though he tried to maintain a life of solitude, he is soon entangled with an artist who is struggling with a personal tragedy and an overly friendly Cuban hot-dog vendor."
Girls Will Be Girls,2003,"Comedy, Romance",R,"Three actresses at various places on the Hollywood food chain navigate the minefield of love, aging, and ambition. Oh, and they're all played by men!"
Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",PG,"Under-age agents Juni and Carmen Cortez set out on their newest most mind-blowing mission yet: journeying inside the virtual reality world of a 3-D video game designed to outsmart them, as the awe-inspiring graphics and creatures of gaming come to real life. Relying on humor, gadgetry, bravery, family bonds and lightning-quick reflexes, the Spy Kids must battle through tougher and tougher levels of the game, facing challenges that include racing against road warriors and surfing on boiling lava, in order to save the world from a power hungry villain."
The Missing,2003,"Adventure, Thriller, Western",R,"In 19th-century New Mexico, a father (Tommy Lee Jones) comes back home, hoping to reconcile with his adult daughter Maggie (Cate Blanchett). Maggie's daughter is kidnapped, forcing father and estranged daughter to work together to get her back."
The Barbarian Invasions,2003,"Comedy, Crime, Drama",R,"In this belated sequel to 'The Decline of the American Empire', 50-something Montreal college professor, Remy, learns that he is dying of liver cancer. He decides to make amends meet to his friends and family before he dies. He first tries to made peace with his ex-wife Louise, who asks their estranged son Sebastian, a successful businessman living in London, to come home. Sebastian makes the impossible happen, using his contacts and disrupting the entire Canadian system in every way possible to help his father fight his terminal illness to the bitter end, while he also tries to reunite his former friends, Pierre, Alain, Dominique, Diane, and Claude to see their old friend before he passes on."
The Haunted Mansion,2003,"Comedy, Family, Fantasy",PG,"Married realtors Jim and Sara with their children go to Gracey Manor and Mr. Gracey is enamored with Sara and they discover that Sara looks like Mr. Gracey's old girlfriend, Elizabeth, who died young and they think it was a suicide but discover something more sinister."
DysFunktional Family,2003,"Comedy, Documentary",R,"Concert performance of Eddie Griffin that includes behind-the-scenes documentary footage detailing the stand-up comedian's personal life and family as he travels to a family reunion to reunite with the cast of characters who are the root of his comedy: his mother, an uncle who was an ex-pimp, and his Uncle Curtis, who pontificates on his career as a porno director."
Wonderland,2003,"Crime, Drama, Mystery",R,"John Holmes was a legend of the porn industry and revered in circles as a stud. But in 1981, years after his successful career and star fading, Holmes was a desperate man with his own internal demons to live up to. He's estranged from his wife, holding onto a relationship with his teenage mistress, and living as a junkie in search of his next fix. But one fateful night left four people dead and John as a key suspect in one of the most grisly murders in Los Angeles. Was he partly responsible for what happened at Wonderland Avenue?"
Lost in Translation,2003,Drama,R,"Middle-aged American movie star Bob Harris is in Tokyo to film a personal endorsement Suntory whiskey ad solely for the Japanese market. He is past his movie star prime, but his name and image still have enough cachet for him to have gotten this lucrative $2 million job. He has an unsatisfying home life where his wife Lydia follows him wherever he goes - in the form of messages and faxes - for him to deal with the minutiae of their everyday lives, while she stays at home to look after their kids. Staying at the same upscale hotel is fellow American, twenty-something recent Yale Philosophy graduate Charlotte, her husband John, an entertainment still photographer, who is on assignment in Japan. As such, she is largely left to her own devices in the city, especially when his job takes him out of Tokyo. Both Bob and Charlotte are feeling lost by their current situations, which are not helped by the cultural barriers they feel in Tokyo, those cultural barriers extending far beyond just not knowing the language. After a few chance encounters in the hotel, they end up spending much of their time hanging out together, each helping the other deal with their feelings of loss in their current lives. The friendship that develops between the two, which is not always a bumpy-free one, may be just for this specific place and time, but it may also have long lasting implications."
Yossi & Jagger,2002,"Drama, Romance, War",R,"Yossi is a Commander at an Israeli outpost near Lebanon. He is however involved in a secret, passionate love affair with his second in command (nicknamed Jagger). The two will often sneak off from the outpost to spend time together. A failed ambush during a full moon leaves Jagger mortally wounded and forces Yossi to finally express his love."
Stevie,2002,Documentary,R,"He began a film, a search, to discover not only what had happened to Stevie over the past ten years but to understand the forces that had shaped his entire life. Part way through the filming, Stevie is arrested and charged with a serious crime that tears his family apart. What was to be a modest profile turns into a intimate four and half year chronicle of Stevie, his broken family, the criminal justice system and the filmmaker himself, as they all struggle with what Stevie has done and who he has become."
Spellbound,2002,"Documentary, Comedy, Thriller",G,"This documentary follows 8 teens and pre-teens as they work their way toward the finals of the Scripps Howard national spelling bee championship in Washington D.C. All work quite hard and practice daily, first having to win their regional championship before they can move on. Interviews include the parents and teachers who are working with them. The competitors not only work hard to get to the finals but face tremendous pressure as the original group of over 250 competitors is whittled down and the words they must spell get ever more difficult."
"Legally Blonde 2: Red, White & Blonde",2003,Comedy,PG-13,"Sassy postgrad Elle Woods is all about animal rights. In fact, she puts her nuptial plans on hold to head to Washington D.C. to get an anti-animal testing bill passed. Her building's doorman quickly shows her the ways and workings of our nation's capital."
School of Rock,2003,"Comedy, Music",PG-13,"Down and out rock star Dewey Finn gets fired from his band, and he faces a mountain of debts and depression. He takes a job as a 4th grade substitute teacher at an uptight private school where his attitude and hijinx have a powerful effect on his students. He also meets Zack, a 10-year-old guitar prodigy, who could help Dewey win a ""battle of the bands"" competition, which would solve his financial problems and put him back in the spotlight."
Cold Creek Manor,2003,"Mystery, Thriller",R,"Wanting to escape city life for the countryside, New Yorkers Cooper Tilson (Quaid), his wife Leah (Stone) and their two children move into a dilapidated old mansion still filled with the possessions of the previous family. Turning it into their dream house soon becomes a living nightmare when the previous owner (Dorff) shows up, and a series of terrifying incidents lead them on a spine-tingling search for clues to the estate's dark and lurid past..."
Mambo Italiano,2003,"Comedy, Drama, Romance",R,"Angelo Barberini is the oddball son of Italian immigrants Gino and Maria, who inadvertently ended up in Canada rather than the States. Angelo shocks his parents by moving out on his own without getting married, and shocks them further still when he reveals that he's gay. But his boyfriend, policeman Nino Paventi isn't as ready to come out of the closet -- especially not to his busybody mother, Lina."
Charly,2002,"Comedy, Drama, Romance",PG,"Sam Roberts thinks he has all the answers: the purpose of life, the meaning of love, the plan for a perfect future. Until Charly walks into his life. As different as Salt Lake City and New York City, Sam and Charly are thrown together by circumstance and repelled by differences. He's scheduled and idealistic. She's spontaneous and cynical. He's guarded and practical. She's open and mischevious. He's a Mormon. She isn't. Differences spark interest, though, as Charly finds depth in Sam's idealism and Sam seeks the vibrance of Charly's joie de vivre. But all is not smooth in the Rockies, as their relationship accelerates - cultural differences, family issues, former loves and life-altering challenges threaten to shake things up."
Blue Collar Comedy Tour: The Movie,2003,"Comedy, Documentary",PG-13,The comedic stylings of four sort-of famous funnymen are brought to the big screen courtesy of this 2002 documentary.
