Title,Year,Genre,Rated,Plot
Death to Smoochy,2002,"Comedy, Crime, Drama",R,"Fired in disgrace, kids show host Randolph Smiley finds himself out on the street, while his replacement Sheldon Mopes, finds himself on the fast track to success with a new hit show as the proud purple rhino Smoochy. But things take a turn for the worst when Sheldon finds out that some of the people that he works with, and some he doesn't know he's working for, are all in it for the money. Meanwhile, Randolph is slowly turning insane with his only thoughts focusing on killing Smoochy and getting back to his life of luxury."
The Cat's Meow,2001,"Drama, Romance",PG-13,"In November of 1924, a mysterious Hollywood death occurred aboard media mogul William Randolph Hearst's yacht. Among the famous guests that weekend were: film star Charlie Chaplin; starlet Marion Davies (who was also Hearst's mistress at the time); silent-film producer Thomas H. Ince (known for creating the first Hollywood-studio facility and for creating an ""assembly line"" system for filmmaking); and feared gossip columnist, Louella Parsons."
The Last Kiss,2001,"Comedy, Drama, Romance",R,"Carlo's life is thrown into a tailspin when his longtime girlfriend Giulia announces she's pregnant. As Carlo faces up to his anxieties about adulthood, his buddies Paolo, Adriano and Alberto reluctantly grapple with their own responsibilities."
Stealing Harvard,2002,"Comedy, Crime",PG-13,"A man turns to a life of crime to pay for his niece's tuition for her first year at a prestigious university. His girlfriend also wants him to pay $30,000 for the down payment on a house; and his buddy is a bad influence on him."
The Rookie,2002,"Drama, Family, Sport",G,"Jim Morris is a Texas high school chemistry teacher and coach of the school's baseball team. He's always loved baseball and as a way of motivating his players, he agrees to go to a professional try-out if they win the championship. He once had aspirations to be a professional baseball player but an injury brought that to an end. Sure enough, the 39 year-old father of three finds himself at a camp for the Tampa Bay Devil Rays and he somehow seems to have regained his pitching arm, easily throwing a 98 mph fastball. Signed to a contract, he toils in the minor leagues while his supportive wife stays home raising their children. He soon finds himself called up to the big club and pitching for Tampa which is in Texas playing the Rangers. Based on a true story."
One Hour Photo,2002,"Drama, Thriller",R,"Middle aged Sy Parrish works as a technician at a one hour photo lab located in a SavMart store in a suburban mall. Sy is a lonely man, never having had any friends. He knows much about his customers through the photographs they have developed. But he knows more about the Yorkin family - specifically Nina Yorkin and her adolescent son Jake Yorkin, the two in the family who drop off and pick up the family's photofinishing - the family about whom he is obsessed, than anyone else. Nina's husband, Will Yorkin, is incidental to his obsession since Sy has only seen him in photographs. Sy's obsession includes fantasizing about being their favorite ""Uncle Sy"". He has even been making an extra set of prints for himself of all of their photographs since Jake was a newborn. After an incident at work and after Sy finds out more about the family through a set of photographs, he decides to right the injustices he sees in the only way he knows how. His actions demonstrate his true mental state."
Murder by Numbers,2002,"Crime, Mystery, Thriller",R,"Richard Haywood, a Californian high school's coolest kid, secretly teams up with another rich kid in his class, brilliant nerd Justin 'Bonaparte' Pendleton, whose erudition, specially in forensic matters, allows them to plan elaborately perfect murders, just for the kick, for which they set up Richard's marijuana supplier, their school's janitor Ray Feathers, as a psychotic serial killer. The case is assigned to detectives Cassie 'the hyena' Mayweather, who carries a sequoia-size chip on the shoulder from her previous life, and her brilliant new partner, Sam Kennedy, who just transferred from the vice squad; they can work together very well, and even fit romantically, but fall out over different professional attitudes towards the investigation, which Captain Rod Cody and her understandably vindictive abused ex, Assistant D.A. Al Swanson, soon ban her from when she disobeys instructions and hand to him. When the plotting boys both dig class-mate Lisa Mills, their unnatural bond comes under stress- will it break, allowing the hard-pressed police to bring them down?"
Kissing Jessica Stein,2001,"Comedy, Drama, Romance",R,"Jessica Stein is a single, straight, successful, journalist, part of a bonded Jewish family living in New York City, who finds herself not as straight as she thought when Jessica meets and begins an intense friendship with career woman Helen Cooper which ultimately leads to romance."
Frailty,2001,"Crime, Drama, Thriller",R,"FBI agent Wesley Doyle is startled by the spontaneous declaration of youngster Fenton Meiks about how his father's delusions to have a divine mission as avenging angel required him and his brother Adam to become his 'demon-slaying' murder accomplices. But when Doyle accepts to be shown concealed victim graves, the plot twists in the present just as gruesomely."
Changing Lanes,2002,"Drama, Thriller",R,"An attorney in a rush to make a court appointment to file legal papers involving a multi-million dollar trust accidentally collides with an alcoholic insurance salesman, who also is a rush for a court appointment involving the custody of his children. The attorney leaves the scene of the accident and strands the salesman, causing him to miss his custody hearing. During the process of the post-crash discussion, the attorney accidentally drops the papers he needs to present in court. The judge gives him until the end of the day to present the papers and thus begins a cat and mouse game between the proponents. A few questionable actions later on both parties' part, they finally start questioning their actions and their lives. In the end, both come to new understanding of what is important and appear to be set in new ethical and moral directions. Contains mild violence and profanity."
Catch Me If You Can,2002,"Biography, Crime, Drama",PG-13,"New Rochelle, the 1960s. High schooler Frank Abagnale Jr. idolizes his father, who's in trouble with the IRS. When his parents separate, Frank runs away to Manhattan with $25 in his checking account, vowing to regain dad's losses and get his parents back together. Just a few years later, the FBI tracks him down in France; he's extradited, tried, and jailed for passing more than $4,000,000 in bad checks. Along the way, he's posed as a Pan Am pilot, a pediatrician, and an attorney. And, from nearly the beginning of this life of crime, he's been pursued by a dour FBI agent, Carl Hanratty. What starts as cat and mouse becomes something akin to father and son."
Basic,2003,"Action, Crime, Drama",R,"Tom Hardy, an ex-Army Ranger turned DEA agent, is drawn into an ever-widening mystery surrounding the disappearance of the feared and often hated Sgt. Nathan West, as well as several of his elite Special Forces trainees on what appears, at first, to have been a routine training exercise during a hurricane in the jungles of Panama. Only two survivors are found, Dunbar, and a badly wounded Kendall, the son of a high-profile Joint Chiefs of Staff official. Neither is willing to cooperate with Capt. Julia Osborne's investigation. So base commander Col. Bill Styles calls in ex-Ranger Hardy, an old friend and a persuasive interrogator. Osborne disapproves of Hardy who is on leave from the D.E.A. after having come under suspicion of accepting bribes from local drug traffickers. She is also uneasy when she learns that Hardy once trained under West and hates him almost as passionately as his current recruits. With time running out, Hardy and Osborne call a temporary, if uneasy, truce. Hardy cajoles a confession out of Dunbar, who claims that Sgt. West and the missing Rangers have been murdered and their bodies blown away by the hurricane. When they later interview Kendall, he confirms that the other Rangers and West are dead. But, in almost every other way, his story contradicts Dunbar's. What happened to West and his Ranger team? And what were they really doing out there in the jungle? As each layer reveals more lies and greater deceptions, Hardy and Osborne inch towards the horrible truth about the fate of the missing Rangers."
View from the Top,2003,"Comedy, Romance",PG-13,"Donna Jensen was raised literally and figuratively on the wrong side of the trailer park in Silver Springs, Nevada. She always believed it was her destiny to get out of Silver Springs. After reading Sally Weston's book, Sally who is arguably the most famous now ex-flight attendant in the world, Donna believes the path to leaving Silver Springs is to become a flight attendant despite never having been on an airplane. After an initial bumpy start to this career, Donna shows a natural flair for the job, so much so that she applies to work for world class Royal Airlines, where Sally Weston mentors. After meeting Donna, Sally believes Donna is destined for flight attendant greatness, namely working first class in the New York-Paris flights. Donna believes in herself as a flight attendant, but has to overcome some obstacles, including flight attendant trainer John Witney, who has some hidden anger issues, and her friend Christine Montgomery who also wants to be a great flight attendant despite not having Donna's aptitude at it. In her path to the top of the profession, Donna also has to decide where Ted Stewart, the man with who she falls in love, fits in, he a law student based in the airline flight backwater of Cleveland."
