movieId,title,imdbId
7004,Kindergarten Cop (1990),99938
5303,Joe Versus the Volcano (1990),99892
6235,Europa Europa (Hitlerjunge Salomon) (1990),99776
6678,"Handmaid's Tale, The (1990)",99731
6238,Green Card (1990),99699
5839,My Father's Glory (La gloire de mon père) (1990),99669
6974,"Freshman, The (1990)",99615
6518,Flight of the Intruder (1991),99587
6966,Darkman (1990),99365
5840,"My Mother's Castle (Château de ma mère, Le) (1990)",99266
5334,Cadillac Man (1990),99204
5961,Blue Steel (1990),99160
5581,Betsy's Wedding (1990),99128
5960,Bad Influence (1990),99091
6671,"Angel at My Table, An (1990)",99040
5309,Three Men and a Little Lady (1990),98966
5646,Valmont (1989),98575
6782,Leningrad Cowboys Go America (1989),97728
5236,"Tale of Springtime, A (Conte de Printemps) (1990)",97106
5971,My Neighbor Totoro (Tonari no Totoro) (1988),96283
6244,Salaam Bombay! (1988),96028
5305,Return of the Killer Tomatoes! (1988),95989
5643,Powaqqatsi (1988),95895
5641,"Moderns, The (1988)",95649
5690,Grave of the Fireflies (Hotaru no haka) (1988),95327
6602,Brain Damage (1988),94793
7046,"Witches of Eastwick, The (1987)",94332
6816,Three O'Clock High (1987),94138
5308,Three Men and a Baby (1987),94137
7026,Summer School (1987),94072
5553,Stakeout (1987),94025
5521,"Principal, The (1987)",93780
7016,Over the Top (1987),93692
6525,Nuts (1987),93660
6415,Intervista (1987),93267
7102,Dragnet (1987),92925
6791,Babette's Feast (Babettes gæstebud) (1987),92603
6315,Wildcats (1986),92214
6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),92067
6644,"Green Ray, The (Rayon vert, Le) (1986)",91830
5342,Nomads (1986),91647
5367,My Beautiful Laundrette (1985),91578
7011,"Bullfighter, The (Matador) (1986)",91495
6308,Legal Eagles (1986),91396
6201,Lady Jane (1986),91374
6818,Come and See (Idi i smotri) (1985),91251
6993,Hannah and Her Sisters (1986),91167
6473,Half Moon Street (1986),91164
5548,Down and Out in Beverly Hills (1986),90966
6800,Cobra (1986),90859
5539,Care Bears Movie II: A New Generation (1986),90799
5404,84 Charing Cross Road (1987),90570
7042,Betty Blue (37°2 le matin) (1986),90563
7040,To Live and Die in L.A. (1985),90180
6906,That Was Then... This Is Now (1985),90151
7036,Teen Wolf (1985),90142
7083,Sweet Dreams (1985),90110
6636,"Sure Thing, The (1985)",90103
7027,Silverado (1985),90022
5433,Silver Bullet (Stephen King's Silver Bullet) (1985),90021
6896,Shoah (1985),90015
6582,Remo Williams: The Adventure Begins (1985),89901
5471,Perfect (1985),89798
6744,Once Bitten (1985),89730
6786,Kiss of the Spider Woman (1985),89424
6718,Gotcha! (1985),89222
5278,Fraternity Vacation (1985),89167
