movieId,title,imdbId
108709,Generation Kill (2008),995832
106782,"Wolf of Wall Street, The (2013)",993846
98585,Hitchcock (2012),975645
129514,George Carlin: It's Bad for Ya! (2008),963207
95510,"Amazing Spider-Man, The (2012)",948470
115927,Doctor Strange (2007),910865
134881,Love & Mercy (2014),903657
98809,"Hobbit: An Unexpected Journey, The (2012)",903624
108548,"Big Bang Theory, The (2007-)",898266
128520,The Wedding Ringer (2015),884732
109846,Mr. Peabody & Sherman (2014),864835
106873,Evangelion: 3.0 You Can (Not) Redo (2012),860907
102720,Epic (2013),848537
127728,Back Soon (2007),847833
107555,Fireworks Wednesday (Chaharshanbe-soori) (2006),845439
140880,Fashion Victims (2007),838192
97225,Hotel Transylvania (2012),837562
111364,Godzilla (2014),831387
114795,Dracula Untold (2014),829150
103249,World War Z (2013),816711
109487,Interstellar (2014),816692
106441,"Book Thief, The (2013)",816442
141749,The Danish Girl (2015),810819
122890,Warcraft (2016),803096
118468,Mei and the Kittenbus (2002),803038
103655,R.I.P.D. (2013),790736
99112,Jack Reacher (2012),790724
106100,Dallas Buyers Club (2013),790636
101283,"Incredible Burt Wonderstone, The (2013)",790628
114552,"Boxtrolls, The (2014)",787474
103042,Man of Steel (2013),770828
96606,Samsara (2011),770802
95067,"Thousand Words, A (2012)",763831
102378,Syrup (2013),762138
140755,Long-Term Relationship (2006),494253
130970,George Carlin: Life Is Worth Losing (2005),484855
101142,"Croods, The (2013)",481499
95377,One Man Band (2005),479113
122900,Ant-Man (2015),478970
115713,Ex Machina (2015),470752
104078,Alan Partridge: Alpha Papa (2013),469021
130960,The Conrad Boys (2006),468463
140751,Almost Normal (2005),466669
139130,Afro Samurai (2007),465316
113573,Sin City: A Dame to Kill For (2014),458481
112171,"Equalizer, The (2014)",455944
95313,Jack-Jack Attack (2005),455565
140749,29th and Gay (2005),455299
97938,Life of Pi (2012),454876
101895,42 (2013),453562
115881,9 (2005),443424
98154,Lincoln (2012),443272
96075,Bleak House (2005),442632
106397,Stephen Tobolowsky's Birthday Party (2005),437489
113378,"Giver, The (2014)",435651
96490,"Possession, The (2012)",431021
97757,'Hellboy': The Seeds of Creation (2004),424755
127212,The Stanford Prison Experiment (2015),420293
140739,Eighteen (2005),419722
121491,Off Beat (2004),412888
92966,Love Wrecked (2005),409011
93363,John Carter (2012),401729
141124,FAQs (2005),396587
95375,Boundin' (2003),395479
101850,Death on the Staircase (Soupçons) (2004),388644
96901,"Making of a Legend: Gone with the Wind, The (1988)",385073
93320,Trailer Park Boys (1999),383678
93980,"Three Stooges, The (2012)",383010
135268,Zenon: Z3 (2004),379060
110352,Survival Island (Three) (2005),377309
126430,The Pacific (2010),374463
117529,Jurassic World (2015),369610
106918,"Secret Life of Walter Mitty, The (2013)",359950
140745,10 Attitudes (2001),312297
140761,The Biggest Fan (2002),300996
95740,"Adventures of Mary-Kate and Ashley, The: The Case of the United States Navy Adventure (1997)",283856
110781,Mulan II (2004),279967
135266,Zenon: The Zequel (2001),271271
139620,Everything's Gonna Be Great (1998),263438
137403,Swimming Upstream (2002),259017
95858,For the Birds (2000),248808
136447,George Carlin: You Are All Diseased (1999),246645
140265,George Carlin: Jammin' in New York (1992),246643
136445,George Carlin: Back in Town (1996),246641
98795,Jazz (2001),221300
140741,Get Your Stuff (2000),218298
108979,Cowboy Bebop (1998),213338
121113,Shriek If You Know What I Did Last Friday the Thirteenth (2000),212235
108873,"Same Love, Same Rain (El mismo amor, la misma lluvia) (1999)",210843
132952,Sarfarosh (1999),200087
128846,An Evening with Robin Williams (1982),195691
135264,Zenon: Girl of the 21st Century (1999),186726
140743,The Man I Love (1997),173906
126106,Beastie Boys: Sabotage (1994),167030
100306,Angst  (1983),165623
99669,Aftermath (1994),159241
126006,Rudolph the Red-Nosed Reindeer (1948),156031
102217,Bill Hicks: Revelations (1993),152183
118890,Bill Hicks: Relentless (1992),148668
130522,The Brave Little Toaster Goes to Mars (1998),147926
108090,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),142250
95147,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987),142249
96004,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993),142247
95965,Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi) (1990),142245
107999,Dragon ball Z 04: Lord Slug (1991),142244
95963,Dragon Ball Z: Wrath of the Dragon (Doragon bôru Z 13: Ryûken bakuhatsu!! Gokû ga yaraneba dare ga yaru) (1995),142243
95499,Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993),142242
95165,Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990),142240
95473,Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992),142237
95782,Dragon Ball Z: Fusion Reborn (Doragon bôru Z 12: Fukkatsu no fyushon!! Gokû to Bejîta) (1995),142236
95780,Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994),142234
